9.510690026954178311e-01,4.999941778975740903e+01
9.682113195710712050e-01,4.999961960353943624e+01
9.642533426798104434e-01,4.999957124193912250e+01
9.647394456266514817e-01,4.999957573648551090e+01
9.647272983649191058e-01,4.999957444112468607e+01
9.647265388739899583e-01,4.999957339042209270e+01
9.647264392664092192e-01,4.999957244668090084e+01
9.647264254544911655e-01,4.999957159365618509e+01
9.647264278715214081e-01,4.999957082198627489e+01
9.647264338579403242e-01,4.999957012379704935e+01
9.647264404464600540e-01,4.999956949206444534e+01
9.647264468262938264e-01,4.999956892045511836e+01
9.647264527667037681e-01,4.999956840324442453e+01
9.647264582157061286e-01,4.999956793525438314e+01
9.647264631813882163e-01,4.999956751180045700e+01
9.647264676924559579e-01,4.999956712864416630e+01
9.647264717838970327e-01,4.999956678195049875e+01
9.647264754914448570e-01,4.999956646824946915e+01
9.647264788493895571e-01,4.999956618440132416e+01
9.647264818897491878e-01,4.999956592756512919e+01
9.647264846420202655e-01,4.999956569517031113e+01
9.647264871331823199e-01,4.999956548489092967e+01
9.647264893878134684e-01,4.999956529462239274e+01
9.647264914282511761e-01,4.999956512246039608e+01
9.647264932747671162e-01,4.999956496668185935e+01
9.647264949457409200e-01,4.999956482572767413e+01
9.647264964578272650e-01,4.999956469818710758e+01
9.647264978261114177e-01,4.999956458278366966e+01
9.647264990642535620e-01,4.999956447836235895e+01
9.647265001846209165e-01,4.999956438387807367e+01
9.647265011984087479e-01,4.999956429838518090e+01
9.647265021157501730e-01,4.999956422102803089e+01
9.647265029458166330e-01,4.999956415103240204e+01
9.647265036969083773e-01,4.999956408769774896e+01
9.647265043765370640e-01,4.999956403039019648e+01
9.647265049915004775e-01,4.999956397853618739e+01
9.647265055479501417e-01,4.999956393161674839e+01
9.647265060514527146e-01,4.999956388916228889e+01
9.647265065070453893e-01,4.999956385074791143e+01
9.647265069192865194e-01,4.999956381598914845e+01
9.647265072923006946e-01,4.999956378453811823e+01
9.647265076298202624e-01,4.999956375608005743e+01
9.647265079352225214e-01,4.999956373033013790e+01
9.647265082115633605e-01,4.999956370703065289e+01
9.647265084616081232e-01,4.999956368594840228e+01
9.647265086878590301e-01,4.999956366687239750e+01
9.647265088925800480e-01,4.999956364961171573e+01
9.647265090778199825e-01,4.999956363399360271e+01
9.647265092454324620e-01,4.999956361986175324e+01
9.647265093970949223e-01,4.999956360707472669e+01
9.647265095343251495e-01,4.999956359550454721e+01
9.647265096584964894e-01,4.999956358503541765e+01
